項目名稱 (Column Name),原始缺失件數 (Counts),原始缺失比例 (Percentage)
WhatIsYourRace,2147,15.29%
UsedMotorcycleHelmet,2072,14.76%
SunProtection,2013,14.34%
HIVTesting,1921,13.68%
Sleep,1887,13.44%
SunscreenUse,1882,13.40%
InjuredWhileExercising,1863,13.27%
HealthInGeneral,1848,13.16%
MinutesInPEPlayingSports,1846,13.15%
EverUsedLSD,1729,12.31%
InjuriousSuicide,1715,12.21%
AttemptedSuicide,1557,11.09%
NoerobicExercise,1548,11.02%
AerobicExercise,1530,10.90%
HowObtainedCigarettes,1430,10.18%
CurrentAlcoholUse,1372,9.77%
SourceOfAlcohol,1267,9.02%
EverAlcoholUse,1233,8.78%
BirthControlPillUse,1186,8.45%
CondomUse,1135,8.08%
CurrentSmokelessTobaccoOnSchoolProperty,1111,7.91%
MultipleSexPartners,980,6.98%
AlcoholDrugsAndSex,979,6.97%
BMIPCT,979,6.97%
HowTallAreYouWithoutShoesInMeters,979,6.97%
HowMuchDoYouWeighWithoutShoesInKG,979,6.97%
CurrentSexualActivity,965,6.87%
FirstSexualIntercourse,955,6.80%
EverSexualIntercourse,935,6.66%
StillHaveAsthma,857,6.10%
SmokedMoreThan10Cigarettes,830,5.91%
CocaineUsePast30Days,824,5.87%
FastingToLoseWeight,808,5.75%
EverSmokingCessation,744,5.30%
CurrentCigaretteUse,718,5.11%
DietPillsToLoseWeight,706,5.03%
GunCarryingPast12Mos,685,4.88%
BicyleHelmetUse,636,4.53%
RidingWithADrinkingDriver,625,4.45%
CurrentSmokelessTobaccoUse,622,4.43%
CarrotEating,617,4.39%
OtherVegetableEating,615,4.38%
GreenSaladEating,595,4.24%
PotatoEating,592,4.22%
CurrentCigarUse,563,4.01%
SportsTeamParticipation,545,3.88%
EverSmokedDailyFor30Days,544,3.87%
InitiationSmokingWholeCigarette,541,3.85%
TaughtAboutHIV,533,3.80%
CurrentBingeDrinking5OrMore,453,3.23%
SmokeOnSchoolProperty,446,3.18%
NoMilkDrinking,443,3.16%
EverCigaretteUse,440,3.13%
WeaponCarrying,426,3.03%
EverMarijuaUse,409,2.91%
DrinkingAndDriving,407,2.90%
PEAttendance,388,2.76%
CurrentMarijuaUse,377,2.68%
InjuredIFight,356,2.54%
DrinkAlcoholOnSchoolProperty,354,2.52%
InitiationOfMarijuaUse,345,2.46%
MarijuaOnSchoolProperty,323,2.30%
ExerciseToLoseWeight,322,2.29%
PhysicalFighting,321,2.29%
ConsumeFewerCaloriesToLoseWeight,307,2.19%
LaxativesToLoseWeight,306,2.18%
WeaponCarryingAtSchool,301,2.14%
PhysicalFightingAtSchool,290,2.07%
StolenOrDamagedYourProperty,287,2.04%
InitiationOfAlcoholUse,286,2.04%
Asthma,280,1.99%
EverEcstasyUse,253,1.80%
WeightLoss,250,1.78%
EverCocaineUse,249,1.77%
RaceEth,248,1.77%
PerceptionOfWeight,247,1.76%
MadeASuicidePlan,239,1.70%
EverInhalantUse,233,1.66%
ComputerUse,224,1.60%
ForcedSexualIntercourse,223,1.59%
EverMethamphetamineUse,218,1.55%
TelevisionWatching,216,1.54%
IllegalDrugsAtSchool,211,1.50%
BoyfriendGirlfriendPhysicallyHurt,206,1.47%
EverHeroinUse,203,1.45%
PhysicalActivity5OrMoreDays,201,1.43%
IllegalInjectedDrugUse,199,1.42%
EverSteriodUse,197,1.40%
SadOrHopeless,196,1.40%
ConsideredSuicide,182,1.30%
AreYouHispanicOrLatino,182,1.30%
SeatBeltUse,149,1.06%
FruitEating,148,1.05%
WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,147,1.05%
SafetyConcernsAtSchool,147,1.05%
FruitJuiceDrinking,146,1.04%
NoSodaDrinking,136,0.97%
InWhatGradeAreYou,69,0.49%
HowOldAreYou,61,0.43%
WhatIsYourSex,13,0.09%
weight,0,0.00%
stratum,0,0.00%
psu,0,0.00%
