論文章節,評估小節,評估指標,原始題項,CDC客觀實際體重分組,有效樣本數(N),實質平均值,中位數,IQR_下四分位,IQR_上四分位,趨勢強度(Tau),趨勢p-value,統計學結論
4-3,3-4,實質打架總次數 (PhysicalFighting),PhysicalFighting,01_過輕 (<5th),241,1.0809,0.0,0.0,1.0,0.0584,1.842970904640686e-12,*
4-3,3-4,實質打架總次數 (PhysicalFighting),PhysicalFighting,02_正常 (5th-85th),7946,1.0179,0.0,0.0,1.0,0.0584,1.842970904640686e-12,*
4-3,3-4,實質打架總次數 (PhysicalFighting),PhysicalFighting,03_過重 (85th-95th),1978,1.1949,0.0,0.0,1.0,0.0584,1.842970904640686e-12,*
4-3,3-4,實質打架總次數 (PhysicalFighting),PhysicalFighting,04_肥胖 (>=95th),1706,1.3517,0.0,0.0,1.0,0.0584,1.842970904640686e-12,*
4-3,3-4,實質攜帶武器總天數 (WeaponCarrying),WeaponCarrying,01_過輕 (<5th),235,0.7787,0.0,0.0,0.0,0.0607,1.2988786932032618e-12,*
4-3,3-4,實質攜帶武器總天數 (WeaponCarrying),WeaponCarrying,02_正常 (5th-85th),7903,0.6439,0.0,0.0,0.0,0.0607,1.2988786932032618e-12,*
4-3,3-4,實質攜帶武器總天數 (WeaponCarrying),WeaponCarrying,03_過重 (85th-95th),1970,0.8152,0.0,0.0,0.0,0.0607,1.2988786932032618e-12,*
4-3,3-4,實質攜帶武器總天數 (WeaponCarrying),WeaponCarrying,04_肥胖 (>=95th),1682,0.9804,0.0,0.0,0.0,0.0607,1.2988786932032618e-12,*
4-3,3-4,實質財產被偷或砸壞次數 (StolenOrDamaged...),StolenOrDamagedYourProperty,01_過輕 (<5th),234,0.4701,0.0,0.0,1.0,0.0298,0.00045737288345655915,*
4-3,3-4,實質財產被偷或砸壞次數 (StolenOrDamaged...),StolenOrDamagedYourProperty,02_正常 (5th-85th),7921,0.4819,0.0,0.0,1.0,0.0298,0.00045737288345655915,*
4-3,3-4,實質財產被偷或砸壞次數 (StolenOrDamaged...),StolenOrDamagedYourProperty,03_過重 (85th-95th),1975,0.5238,0.0,0.0,1.0,0.0298,0.00045737288345655915,*
4-3,3-4,實質財產被偷或砸壞次數 (StolenOrDamaged...),StolenOrDamagedYourProperty,04_肥胖 (>=95th),1677,0.588,0.0,0.0,1.0,0.0298,0.00045737288345655915,*
4-3,3-4,打架受傷嚴重至就醫次數 (InjuredIFight),InjuredIFight,01_過輕 (<5th),241,0.139,0.0,0.0,0.0,0.0294,0.000790444941407062,*
4-3,3-4,打架受傷嚴重至就醫次數 (InjuredIFight),InjuredIFight,02_正常 (5th-85th),7931,0.0625,0.0,0.0,0.0,0.0294,0.000790444941407062,*
4-3,3-4,打架受傷嚴重至就醫次數 (InjuredIFight),InjuredIFight,03_過重 (85th-95th),1989,0.0681,0.0,0.0,0.0,0.0294,0.000790444941407062,*
4-3,3-4,打架受傷嚴重至就醫次數 (InjuredIFight),InjuredIFight,04_肥胖 (>=95th),1704,0.105,0.0,0.0,0.0,0.0294,0.000790444941407062,*
